日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2022年02月,基隆市,973750,71,0.013,0,0,0,314500,91,0.0117,1015154,32,0.014,1120,1,0.0091,24104,11,0.008,1512430,1839,0.0107,1308800,5,0.0128,0,0,0,0,0,0,5149858
2022年02月,新竹市,1671923,79,0.0224,63840,4,0.0978,138149,39,0.0051,2533710,43,0.0351,5840,1,0.0473,53102,15,0.0176,1865262,2683,0.0133,7646145,12,0.0748,0,0,0,0,0,0,13977971
2022年02月,嘉義市,696929,36,0.0093,16736,3,0.0256,404182,64,0.015,607199,24,0.0084,0,0,0,80056,78,0.0266,1169038,2134,0.0083,1246441,10,0.0122,0,0,0,3242,2,0.0065,4223823
2022年02月,澎湖縣,549013,51,0.0074,23987,4,0.0368,382182,267,0.0142,989869,35,0.0137,17685,9,0.1434,110780,112,0.0368,1063849,952,0.0076,198160,2,0.0019,0,0,0,0,0,0,3335525
2022年02月,金門縣,793682,61,0.0106,33524,42,0.0514,519281,199,0.0192,560807,28,0.0078,3000,2,0.0243,103382,42,0.0343,635468,1064,0.0045,335800,3,0.0033,0,0,0,0,0,0,2984944
2022年02月,連江縣,188600,12,0.0025,8760,1,0.0134,169707,57,0.0063,178760,8,0.0025,16696,7,0.1353,103307,35,0.0343,224108,231,0.0016,0,0,0,0,0,0,0,0,0,889938
2022年02月,合計,74653818,3197,1,652674,238,1,26981395,8153,1,72280965,1355,1,123361,45,1,3013223,1836,1,140703819,185948,1,102156767,389,1,7381,3,1,498274,326,1,421071677
2022年01月,新北市,14490565,514,0.1704,37838,7,0.0495,1675094,692,0.0534,6953716,90,0.0838,3724,1,0.029,201382,63,0.0587,14183028,25714,0.0866,10464272,32,0.0833,0,0,0,7920,1,0.0181,48017539
2022年01月,台北市,28758045,447,0.3381,28385,10,0.0372,1005958,352,0.0321,26227109,208,0.316,13507,2,0.1051,851665,297,0.2482,9820433,24832,0.0599,33544982,110,0.2669,40172,4,0.9544,197444,197,0.4518,100487700
2022年01月,桃園市,4869734,197,0.0573,24730,3,0.0324,2443678,293,0.078,5533852,55,0.0667,0,0,0,201728,43,0.0588,10341301,17103,0.0631,13956320,25,0.1111,0,0,0,710,3,0.0016,37372053
2022年01月,台中市,6776738,290,0.0797,69478,15,0.0909,4651701,490,0.1484,7593965,128,0.0915,6472,2,0.0504,115000,54,0.0335,21781208,23050,0.1329,11838490,40,0.0942,0,0,0,13926,4,0.0319,52846978
2022年01月,台南市,4732076,248,0.0556,21343,22,0.0279,2922547,1112,0.0932,3706683,116,0.0447,800,1,0.0062,170832,203,0.0498,19423375,12126,0.1185,6367094,23,0.0507,0,0,0,8325,6,0.0191,37353075
2022年01月,高雄市,9867025,476,0.116,21287,25,0.0279,2751238,661,0.0878,11481148,142,0.1383,9417,10,0.0733,137371,128,0.04,16992922,18943,0.1037,16396765,49,0.1305,1920,2,0.0456,9766,7,0.0223,57668859
2022年01月,宜蘭縣,1027039,50,0.0121,66981,11,0.0877,1130862,226,0.0361,1317073,36,0.0159,4769,2,0.0371,207843,123,0.0606,6271609,5245,0.0383,1640039,7,0.013,0,0,0,2355,2,0.0054,11668570
2022年01月,新竹縣,1530883,83,0.018,21154,2,0.0277,859536,156,0.0274,1007771,24,0.0121,0,0,0,6139,4,0.0018,6237049,4357,0.0381,1303040,8,0.0104,0,0,0,4513,2,0.0103,10970085
2022年01月,苗栗縣,927237,61,0.0109,105888,15,0.1386,1446282,782,0.0461,1273381,38,0.0153,0,0,0,90343,107,0.0263,5858707,5623,0.0358,1133496,4,0.009,0,0,0,58960,4,0.1349,10894294
2022年01月,彰化縣,1804815,111,0.0212,29019,8,0.038,2417681,646,0.0771,1817279,45,0.0219,0,0,0,141222,102,0.0411,11554603,11266,0.0705,2195309,10,0.0175,0,0,0,10750,6,0.0246,19970678
2022年01月,南投縣,923418,64,0.0109,132,1,0.0002,1059912,185,0.0338,1567138,58,0.0189,8104,3,0.0631,87740,44,0.0256,5331897,4711,0.0325,1130852,2,0.009,0,0,0,0,0,0,10109193
2022年01月,雲林縣,799736,53,0.0094,23411,15,0.0306,1763532,516,0.0563,849964,37,0.0102,0,0,0,76533,69,0.0223,7050947,8307,0.043,2755192,8,0.0219,0,0,0,40,1,0.0001,13319355
2022年01月,嘉義縣,696467,56,0.0082,7727,5,0.0101,1900543,562,0.0606,473093,23,0.0057,22960,1,0.1787,48579,51,0.0142,5297510,4121,0.0323,3128030,9,0.0249,0,0,0,640,2,0.0015,11575549
2022年01月,屏東縣,873009,95,0.0103,15770,14,0.0206,1913604,486,0.061,3871244,79,0.0466,11480,4,0.0893,105989,135,0.0309,7575595,5628,0.0462,3266714,13,0.026,0,0,0,20763,6,0.0475,17654168
2022年01月,台東縣,689379,60,0.0081,16185,14,0.0212,831625,396,0.0265,1590952,54,0.0192,8324,4,0.0648,251209,139,0.0732,1688932,1649,0.0103,859362,6,0.0068,0,0,0,12401,4,0.0284,5948369
2022年01月,花蓮縣,777255,58,0.0091,207237,24,0.2712,1160745,497,0.037,1220190,51,0.0147,1880,1,0.0146,208915,177,0.0609,6928905,3904,0.0423,3122497,10,0.0248,0,0,0,7718,9,0.0177,13635342
2022年01月,基隆市,1062811,69,0.0125,0,0,0,224859,50,0.0072,1142706,32,0.0138,0,0,0,43652,20,0.0127,1777871,1843,0.0108,1649800,5,0.0131,0,0,0,52080,1,0.1192,5953779
2022年01月,新竹市,1955439,80,0.023,48374,2,0.0633,290411,72,0.0093,2775039,42,0.0334,0,0,0,49648,18,0.0145,2173198,2680,0.0133,8812560,12,0.0701,0,0,0,0,0,0,16104669
2022年01月,嘉義市,842942,36,0.0099,8000,1,0.0105,283926,53,0.0091,716666,25,0.0086,0,0,0,155100,40,0.0452,1343278,2136,0.0082,1472012,10,0.0117,0,0,0,1841,2,0.0042,4823765
2022年01月,澎湖縣,610528,51,0.0072,3483,2,0.0046,125166,37,0.004,1096951,36,0.0132,15305,3,0.1191,95008,71,0.0277,1242717,947,0.0076,229480,2,0.0018,0,0,0,25119,53,0.0575,3443757
2022年01月,金門縣,848230,59,0.01,0,0,0,281513,78,0.009,594885,28,0.0072,9680,7,0.0753,122548,50,0.0357,739635,1052,0.0045,409580,3,0.0033,0,0,0,1726,2,0.0039,3007797
2022年01月,連江縣,183240,11,0.0022,7610,4,0.01,208075,55,0.0066,177360,8,0.0021,12089,3,0.0941,63550,26,0.0185,250633,220,0.0015,0,0,0,0,0,0,0,0,0,902557
2022年01月,合計,85046611,3169,1,764032,200,1,31348488,8397,1,82988165,1355,1,128511,44,1,3431996,1964,1,163865353,185457,1,125675886,388,1,42092,6,1,436997,312,1,493728131
2021年12月,新北市,16181925,518,0.1724,41218,8,0.0573,2546654,906,0.0799,7154674,90,0.082,1944,3,0.015,260174,118,0.0788,14116461,25672,0.0861,12226768,32,0.0831,0,0,0,8320,1,0.0154,52538138
2021年12月,台北市,30451326,448,0.3244,36818,10,0.0512,851210,282,0.0267,27660867,208,0.3171,16130,4,0.1241,376381,82,0.114,9742369,24832,0.0594,37312295,110,0.2537,5369,3,0.8114,271254,266,0.5017,106724019
2021年12月,桃園市,5494810,199,0.0585,7480,1,0.0104,2320921,299,0.0728,5820159,55,0.0667,0,0,0,100696,47,0.0305,10325610,17008,0.063,16483948,25,0.1121,0,0,0,0,0,0,40553624
2021年12月,台中市,7422882,288,0.0791,73235,9,0.1018,4312358,449,0.1353,8079374,128,0.0926,6898,2,0.0531,239033,144,0.0724,22189601,22980,0.1354,14046983,40,0.0955,1248,1,0.1886,121175,13,0.2241,56492787
2021年12月,台南市,5149034,248,0.0548,62831,34,0.0873,2967413,1104,0.0931,4121462,119,0.0473,840,1,0.0065,177834,122,0.0539,19437544,12119,0.1186,8267269,23,0.0562,0,0,0,432,2,0.0008,40184659
2021年12月,高雄市,11333924,474,0.1207,46949,24,0.0652,1965070,473,0.0617,11938699,142,0.1369,44616,7,0.3432,214932,151,0.0651,17147296,18946,0.1046,20038151,50,0.1362,0,0,0,2360,3,0.0044,62731997
2021年12月,宜蘭縣,1075748,50,0.0115,106350,6,0.1478,1026971,192,0.0322,1381239,36,0.0158,0,0,0,125353,59,0.038,6293136,5126,0.0384,1949759,7,0.0133,0,0,0,0,0,0,11958556
2021年12月,新竹縣,1739251,80,0.0185,2905,1,0.004,841647,134,0.0264,1034216,25,0.0119,0,0,0,44819,14,0.0136,6237483,4361,0.0381,1564460,8,0.0106,0,0,0,980,1,0.0018,11465761
2021年12月,苗栗縣,995292,62,0.0106,96650,16,0.1343,1574499,734,0.0494,1374877,37,0.0158,0,0,0,92832,45,0.0281,5794891,5619,0.0354,1331512,4,0.0091,0,0,0,63040,3,0.1166,11323593
2021年12月,彰化縣,1932635,112,0.0206,22714,28,0.0316,2816949,647,0.0884,1954327,45,0.0224,0,0,0,254996,121,0.0772,11504659,11182,0.0702,2556475,10,0.0174,0,0,0,2600,1,0.0048,21045355
2021年12月,南投縣,991142,64,0.0106,2338,4,0.0032,1753684,237,0.055,1661212,58,0.019,6255,2,0.0481,298666,101,0.0905,5271757,4693,0.0322,1321784,3,0.009,0,0,0,0,0,0,11306838
2021年12月,雲林縣,871547,52,0.0093,15377,18,0.0214,1819046,421,0.0571,923150,38,0.0106,0,0,0,74589,73,0.0226,7048191,8286,0.043,3213404,8,0.0218,0,0,0,23009,9,0.0426,13988313
2021年12月,嘉義縣,783512,56,0.0083,2480,4,0.0034,1104067,348,0.0346,507317,24,0.0058,0,0,0,46858,48,0.0142,5295083,4119,0.0323,3712516,9,0.0252,0,0,0,23760,1,0.0439,11475593
2021年12月,屏東縣,913000,90,0.0097,15987,7,0.0222,1793157,406,0.0563,4053539,79,0.0465,911,4,0.007,141266,190,0.0428,7611963,5620,0.0464,4048052,13,0.0275,0,0,0,11931,15,0.0221,18589806
2021年12月,台東縣,725661,57,0.0077,8069,9,0.0112,876314,464,0.0275,1627648,53,0.0187,7691,3,0.0592,156896,121,0.0475,1732470,1647,0.0106,1081986,6,0.0074,0,0,0,7528,10,0.0139,6224263
2021年12月,花蓮縣,840694,58,0.009,9042,3,0.0126,1057329,361,0.0332,1271485,50,0.0146,2160,1,0.0166,197999,108,0.06,6606479,3888,0.0403,3487194,10,0.0237,0,0,0,0,0,0,13472382
2021年12月,基隆市,1189422,70,0.0127,0,0,0,347581,92,0.0109,1170092,32,0.0134,1400,1,0.0108,23163,11,0.007,1761844,1837,0.0107,1841600,5,0.0125,0,0,0,0,0,0,6335102
2021年12月,新竹市,3178949,80,0.0339,64040,4,0.089,151551,39,0.0048,2827859,42,0.0324,5874,1,0.0452,78694,15,0.0238,2173180,2676,0.0133,10086332,12,0.0686,0,0,0,0,0,0,18566479
2021年12月,嘉義市,920836,36,0.0098,16917,3,0.0235,572383,64,0.018,804266,24,0.0092,0,0,0,109149,79,0.0331,1355443,2134,0.0083,1684280,10,0.0115,0,0,0,4329,2,0.008,5467603
2021年12月,澎湖縣,659278,51,0.007,30834,4,0.0428,431602,268,0.0135,1100949,36,0.0126,20747,9,0.1596,106657,111,0.0323,1255104,949,0.0077,332800,2,0.0023,0,0,0,0,0,0,3937971
2021年12月,金門縣,860692,60,0.0092,48433,42,0.0673,587730,199,0.0184,583806,28,0.0067,1840,2,0.0142,100611,42,0.0305,736097,1032,0.0045,502360,3,0.0034,0,0,0,0,0,0,3421569
2021年12月,連江縣,168120,11,0.0018,9040,1,0.0126,154416,58,0.0048,172480,8,0.002,12689,7,0.0976,80163,35,0.0243,260848,231,0.0016,0,0,0,0,0,0,0,0,0,857756
2021年12月,合計,93879680,3164,1,719707,236,1,31872552,8177,1,87223697,1357,1,129995,47,1,3301761,1837,1,163897509,184957,1,147089928,390,1,6617,4,1,540718,327,1,528662164
2021年11月,新北市,16781833,514,0.1617,45443,6,0.0535,2269456,694,0.0545,7514685,90,0.082,4233,1,0.0261,256329,63,0.0558,14153540,25604,0.0865,12673012,32,0.0802,0,0,0,9360,1,0.0172,53707891
2021年11月,台北市,31625960,449,0.3047,28587,10,0.0337,1308142,350,0.0314,28672570,207,0.3129,17406,2,0.1072,1154521,296,0.2513,9938126,24832,0.0607,38709226,109,0.2449,49961,4,0.9578,238966,196,0.4399,111743465
2021年11月,桃園市,5829021,201,0.0562,26029,3,0.0307,3221023,296,0.0773,6039797,55,0.0659,0,0,0,269174,43,0.0586,10283284,16820,0.0628,16993042,25,0.1075,0,0,0,547,3,0.001,42661917
2021年11月,台中市,8273430,290,0.0797,90264,15,0.1064,6425354,490,0.1542,8889058,128,0.097,8121,2,0.05,153984,54,0.0335,21672171,22906,0.1324,15563356,40,0.0985,0,0,0,23590,4,0.0434,61099328
2021年11月,台南市,5715814,246,0.0551,32918,23,0.0388,3857036,1112,0.0926,4564558,116,0.0498,1080,1,0.0066,233984,203,0.0509,19368769,12122,0.1184,9410536,23,0.0595,0,0,0,9971,6,0.0184,43194666
2021年11月,高雄市,16011137,477,0.1543,22570,25,0.0266,3528586,662,0.0847,12061127,143,0.1316,10039,10,0.0618,202069,128,0.044,17058449,18840,0.1042,23137574,50,0.1464,2200,2,0.0422,10615,7,0.0195,72044366
2021年11月,宜蘭縣,1167830,50,0.0113,77485,11,0.0913,1531842,226,0.0368,1394167,36,0.0152,6857,2,0.0422,256473,123,0.0558,6257029,4933,0.0382,1920640,7,0.0122,0,0,0,2266,2,0.0042,12614589
2021年11月,新竹縣,1850869,78,0.0178,28707,2,0.0338,1175297,159,0.0282,1079298,25,0.0118,0,0,0,6063,3,0.0013,6229734,4321,0.0381,1715500,8,0.0109,0,0,0,4338,2,0.008,12089806
2021年11月,苗栗縣,1141533,62,0.011,136618,15,0.161,1934163,784,0.0464,1394805,36,0.0152,0,0,0,121847,107,0.0265,5857462,5620,0.0358,1399128,4,0.0089,0,0,0,103240,4,0.19,12088796
2021年11月,彰化縣,2265245,112,0.0218,35124,9,0.0414,3103920,646,0.0745,2087920,45,0.0228,0,0,0,212570,102,0.0463,11522824,11169,0.0704,2896145,10,0.0183,0,0,0,12606,7,0.0232,22136354
2021年11月,南投縣,1171382,64,0.0113,100,1,0.0001,1217376,185,0.0292,1811197,58,0.0198,7296,3,0.0449,88768,44,0.0193,5304100,4670,0.0324,1384615,3,0.0088,0,0,0,0,0,0,10984834
2021年11月,雲林縣,1058430,53,0.0102,29374,15,0.0346,2639868,516,0.0634,1051586,38,0.0115,0,0,0,140505,69,0.0306,7031446,8274,0.043,3610638,8,0.0228,0,0,0,40,1,0.0001,15561887
2021年11月,嘉義縣,947403,55,0.0091,5082,4,0.006,2529749,563,0.0607,571097,24,0.0062,34640,1,0.2132,54309,51,0.0118,5273641,4102,0.0322,4231332,9,0.0268,0,0,0,181,2,0.0003,13647434
2021年11月,屏東縣,1065572,89,0.0103,16317,14,0.0192,2403202,491,0.0577,4406850,77,0.0481,18120,4,0.1115,144714,136,0.0315,7585712,5598,0.0464,4500740,13,0.0285,0,0,0,22440,6,0.0413,20163667
2021年11月,台東縣,806803,58,0.0078,13731,12,0.0162,1050673,399,0.0252,1743008,54,0.019,8946,4,0.0551,285960,139,0.0622,1679882,1640,0.0103,1147297,6,0.0073,0,0,0,17389,4,0.032,6753689
2021年11月,花蓮縣,927382,59,0.0089,215940,24,0.2544,1461065,493,0.0351,1336437,51,0.0146,2080,1,0.0128,256675,177,0.0559,6897584,3888,0.0422,3705676,10,0.0234,0,0,0,11643,9,0.0214,14814482
2021年11月,基隆市,1257221,69,0.0121,0,0,0,299636,50,0.0072,1227177,32,0.0134,0,0,0,67553,20,0.0147,1776003,1851,0.0109,1858200,5,0.0118,0,0,0,41120,1,0.0757,6526910
2021年11月,新竹市,2947735,80,0.0284,17380,2,0.0205,389525,73,0.0093,2875295,42,0.0314,0,0,0,87295,18,0.019,2160333,2677,0.0132,10487937,12,0.0664,0,0,0,0,0,0,18965500
2021年11月,嘉義市,1100445,36,0.0106,11280,1,0.0133,360566,53,0.0087,924337,24,0.0101,0,0,0,235300,40,0.0512,1338716,2143,0.0082,1872240,10,0.0118,0,0,0,1940,2,0.0036,5844824
2021年11月,澎湖縣,740107,51,0.0071,3699,2,0.0044,232112,38,0.0056,1164686,36,0.0127,25966,3,0.1598,130199,71,0.0283,1260522,940,0.0077,351760,2,0.0022,0,0,0,29485,53,0.0543,3938536
2021年11月,金門縣,944515,62,0.0091,0,0,0,467801,79,0.0112,670779,28,0.0073,6494,6,0.04,178746,51,0.0389,733738,1023,0.0045,490840,3,0.0031,0,0,0,3504,2,0.0065,3496417
2021年11月,連江縣,164240,11,0.0016,12027,4,0.0142,254659,55,0.0061,159920,8,0.0017,11166,3,0.0687,58003,25,0.0126,248202,220,0.0015,0,0,0,0,0,0,0,0,0,908217
2021年11月,合計,103793907,3166,1,848675,198,1,41661051,8414,1,91640354,1353,1,162444,43,1,4595041,1963,1,163631267,184193,1,158059434,389,1,52161,6,1,543241,312,1,564987575
2021年10月,新北市,20900103,514,0.171,52020,8,0.0633,3296647,907,0.0901,8970303,90,0.081,3952,3,0.0225,383706,118,0.0866,12443233,25567,0.0874,15572208,32,0.0828,0,0,0,8560,1,0.0133,61630732
2021年10月,台北市,36597120,448,0.2994,37281,10,0.0454,1263080,283,0.0345,33738577,208,0.3046,20976,4,0.1193,539170,82,0.1217,8626579,24827,0.0606,46351446,110,0.2465,8035,3,0.8737,393480,266,0.6104,127575744
2021年10月,桃園市,7413276,200,0.0606,9680,1,0.0118,2682296,299,0.0733,7468089,56,0.0674,0,0,0,137542,47,0.0311,9012009,16817,0.0633,20049020,25,0.1066,0,0,0,0,0,0,46771912
2021年10月,台中市,10332948,289,0.0845,94864,9,0.1155,4742483,449,0.1297,11182765,128,0.101,6238,2,0.0355,333445,145,0.0753,19273776,22934,0.1354,18285694,40,0.0972,1161,1,0.1263,116338,13,0.1805,64369712
2021年10月,台南市,6673859,245,0.0546,79457,34,0.0967,3226896,1103,0.0882,5774318,117,0.0521,1280,1,0.0073,238848,122,0.0539,16693718,12141,0.1173,11352132,23,0.0604,0,0,0,416,2,0.0006,44040924
2021年10月,高雄市,16579751,473,0.1356,41719,24,0.0508,2185655,473,0.0598,14173617,142,0.128,67124,7,0.3819,264142,151,0.0596,15047836,18849,0.1057,26834421,50,0.1427,0,0,0,2720,3,0.0042,75196985
2021年10月,宜蘭縣,1537464,50,0.0126,142018,6,0.1729,1305650,192,0.0357,1717969,36,0.0155,0,0,0,151787,59,0.0343,5417057,4931,0.038,2195870,7,0.0117,0,0,0,0,0,0,12467815
2021年10月,新竹縣,2404251,78,0.0197,2802,1,0.0034,915859,134,0.025,1270972,25,0.0115,0,0,0,69686,14,0.0157,5379885,4313,0.0378,2159600,8,0.0115,0,0,0,982,1,0.0015,12204037
2021年10月,苗栗縣,1538943,62,0.0126,150085,16,0.1827,1951802,734,0.0534,1927991,36,0.0174,0,0,0,113099,45,0.0255,5093436,5602,0.0358,1814128,4,0.0096,0,0,0,48160,3,0.0747,12637644
2021年10月,彰化縣,2856823,112,0.0234,26845,28,0.0327,2998825,647,0.082,2772772,45,0.025,0,0,0,324345,121,0.0732,9973336,11147,0.07,3427836,9,0.0182,0,0,0,2360,1,0.0037,22383142
2021年10月,南投縣,1438669,64,0.0118,2475,4,0.003,1703521,237,0.0466,2255289,58,0.0204,6627,2,0.0377,354099,102,0.08,4533488,4663,0.0318,1560850,3,0.0083,0,0,0,0,0,0,11855018
2021年10月,雲林縣,1358703,53,0.0111,15479,18,0.0188,2083276,421,0.057,1350517,37,0.0122,0,0,0,106347,73,0.024,6120412,8229,0.043,4404983,8,0.0234,0,0,0,24830,9,0.0385,15464547
2021年10月,嘉義縣,1159934,56,0.0095,2480,4,0.003,1345372,349,0.0368,696893,24,0.0063,0,0,0,52465,48,0.0118,4540603,4078,0.0319,5249156,9,0.0279,0,0,0,23280,1,0.0361,13070183
2021年10月,屏東縣,1234106,88,0.0101,18905,7,0.023,1800697,408,0.0492,5142550,78,0.0464,1091,4,0.0062,193747,191,0.0437,6507881,5569,0.0457,5069192,13,0.027,0,0,0,8102,15,0.0126,19976271
2021年10月,台東縣,946778,57,0.0077,6459,7,0.0079,1048683,464,0.0287,2065622,53,0.0187,8249,3,0.0469,220197,121,0.0497,1496927,1632,0.0105,1365418,6,0.0073,0,0,0,10433,10,0.0162,7168766
2021年10月,花蓮縣,1107560,58,0.0091,10948,3,0.0133,1300382,354,0.0356,1634119,51,0.0148,2320,1,0.0132,263899,108,0.0596,5692470,3868,0.04,4179875,10,0.0222,0,0,0,0,0,0,14191573
2021年10月,基隆市,1507015,68,0.0123,0,0,0,383254,92,0.0105,1642933,32,0.0148,1840,1,0.0105,37104,11,0.0084,1526014,1846,0.0107,2136600,5,0.0114,0,0,0,0,0,0,7234760
2021年10月,新竹市,2924652,80,0.0239,13120,3,0.016,185985,40,0.0051,3274499,42,0.0296,6952,2,0.0396,115144,15,0.026,1875900,2666,0.0132,12822490,12,0.0682,0,0,0,0,0,0,21218742
2021年10月,嘉義市,1383191,36,0.0113,19027,3,0.0232,571689,64,0.0156,1151476,24,0.0104,0,0,0,134681,80,0.0304,1180090,2140,0.0083,2194472,10,0.0117,0,0,0,4942,2,0.0077,6639568
2021年10月,澎湖縣,914422,51,0.0075,33733,4,0.0411,514479,268,0.0141,1434845,36,0.013,32702,9,0.1861,149461,111,0.0337,1088163,939,0.0076,454040,2,0.0024,0,0,0,0,0,0,4621845
2021年10月,金門縣,1222340,62,0.01,51973,42,0.0633,858579,199,0.0235,880666,28,0.008,885,2,0.005,124151,42,0.028,630926,1021,0.0044,588460,3,0.0031,0,0,0,0,0,0,4357980
2021年10月,連江縣,205200,11,0.0017,9920,1,0.0121,208385,58,0.0057,225440,8,0.002,15529,7,0.0884,121638,35,0.0275,223368,231,0.0016,0,0,0,0,0,0,0,0,0,1009480
2021年10月,合計,122237108,3155,1,821290,233,1,36573495,8175,1,110752222,1354,1,175765,48,1,4428703,1841,1,142377107,184010,1,188067891,389,1,9196,4,1,644603,327,1,606087380
2021年09月,新北市,23130470,514,0.182,50841,6,0.0588,2155481,696,0.0663,10205871,90,0.0839,4233,1,0.0287,251039,63,0.0519,12413436,25437,0.0873,13934588,32,0.0805,0,0,0,11680,1,0.0248,62157639
2021年09月,台北市,39166922,447,0.3081,30200,11,0.0349,1297209,350,0.0399,37023341,208,0.3042,16254,2,0.1102,1250714,296,0.2585,8671458,24818,0.061,46290416,111,0.2675,50111,4,0.9579,292704,198,0.6215,134089329
2021年09月,桃園市,7875018,202,0.062,26100,3,0.0302,2320792,296,0.0714,8566109,56,0.0704,0,0,0,301684,43,0.0624,8976683,16767,0.0632,19113600,25,0.1105,0,0,0,576,3,0.0012,47180562
2021年09月,台中市,10248100,287,0.0806,102867,15,0.119,4098576,490,0.1261,12288723,127,0.101,11147,2,0.0755,142295,54,0.0294,18807262,22849,0.1323,16156446,40,0.0934,0,0,0,14451,4,0.0307,61869867
2021年09月,台南市,6676967,246,0.0525,33075,23,0.0383,3077149,1120,0.0947,6301487,117,0.0518,1160,1,0.0079,235884,203,0.0488,16673660,12093,0.1173,9041916,23,0.0523,0,0,0,10290,6,0.0219,42051588
2021年09月,高雄市,15109144,473,0.1189,37875,25,0.0438,2644983,665,0.0814,14573241,143,0.1197,10829,10,0.0734,218215,128,0.0451,15035262,18864,0.1058,23080697,50,0.1334,2200,2,0.0421,9850,7,0.0209,70722296
2021年09月,宜蘭縣,1647020,50,0.013,87578,11,0.1013,1290128,227,0.0397,2042418,36,0.0168,4897,2,0.0332,292414,123,0.0604,5384421,4917,0.0379,2007620,7,0.0116,0,0,0,2481,2,0.0053,12758977
2021年09月,新竹縣,2602560,78,0.0205,29326,2,0.0339,893640,159,0.0275,1414508,25,0.0116,0,0,0,10172,3,0.0021,5398657,4307,0.038,2087540,9,0.0121,0,0,0,4930,2,0.0105,12441333
2021年09月,苗栗縣,1548243,62,0.0122,119009,12,0.1377,1588765,786,0.0489,2209450,37,0.0182,0,0,0,139680,107,0.0289,5119196,5605,0.036,1468320,4,0.0085,0,0,0,14560,4,0.0309,12207223
2021年09月,彰化縣,3043979,112,0.0239,35953,9,0.0416,2325582,653,0.0716,3331559,45,0.0274,0,0,0,231715,102,0.0479,9953211,11116,0.07,3029530,9,0.0175,0,0,0,12250,7,0.026,21963779
2021年09月,南投縣,1359577,64,0.0107,3,1,0,878953,185,0.027,2470695,58,0.0203,7242,3,0.0491,78883,44,0.0163,4569954,4666,0.0322,1184362,3,0.0068,0,0,0,0,0,0,10549669
2021年09月,雲林縣,1344656,53,0.0106,29033,15,0.0336,1949043,514,0.06,1570905,37,0.0129,0,0,0,115996,69,0.024,6160774,8216,0.0434,3922972,8,0.0227,0,0,0,40,1,0.0001,15093419
2021年09月,嘉義縣,1206226,56,0.0095,4847,4,0.0056,1994901,563,0.0614,738098,24,0.0061,27600,1,0.1871,50212,51,0.0104,4529736,4070,0.0319,4359632,9,0.0252,0,0,0,160,2,0.0003,12911412
2021年09月,屏東縣,1199609,87,0.0094,16123,14,0.0187,1800418,493,0.0554,5269587,79,0.0433,8800,4,0.0596,145060,136,0.03,6507877,5537,0.0458,4157599,13,0.024,0,0,0,22066,6,0.0469,19127139
2021年09月,台東縣,903085,58,0.0071,11552,12,0.0134,968025,399,0.0298,2294602,53,0.0189,7752,4,0.0525,325701,139,0.0673,1439902,1630,0.0101,1171959,6,0.0068,0,0,0,12116,4,0.0257,7134694
2021年09月,花蓮縣,1128381,57,0.0089,208400,24,0.2411,1475600,493,0.0454,1894682,51,0.0156,2400,1,0.0163,295622,177,0.0611,5977571,3879,0.0421,3776266,10,0.0218,0,0,0,11870,9,0.0252,14770792
2021年09月,基隆市,1723868,71,0.0136,0,0,0,279414,50,0.0086,1953093,32,0.016,0,0,0,76390,20,0.0158,1535236,1847,0.0108,2085000,5,0.012,0,0,0,16400,1,0.0348,7669401
2021年09月,新竹市,3255435,80,0.0256,8138,1,0.0094,317309,73,0.0098,3423107,42,0.0281,0,0,0,92476,18,0.0191,1868296,2685,0.0131,13189612,12,0.0762,0,0,0,0,0,0,22154373
2021年09月,嘉義市,1454680,36,0.0114,12840,1,0.0149,240878,53,0.0074,1324314,24,0.0109,0,0,0,150632,40,0.0311,1164244,2142,0.0082,1978576,10,0.0114,0,0,0,1971,2,0.0042,6328135
2021年09月,澎湖縣,890459,51,0.007,3751,2,0.0043,237445,38,0.0073,1541808,36,0.0127,24925,3,0.1689,157299,71,0.0325,1085877,920,0.0076,480640,2,0.0028,0,0,0,30288,53,0.0643,4452492
2021年09月,金門縣,1363759,62,0.0107,0,0,0,400696,79,0.0123,998014,28,0.0082,6294,6,0.0427,200796,51,0.0415,629835,1018,0.0044,532880,3,0.0031,0,0,0,2249,2,0.0048,4134523
