日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2016年11月,連江縣,136960,9,0.0013,4003,4,0.0045,346419,59,0.0084,171720,6,0.0017,3137,1,0.0158,103192,29,0.02,274519,223,0.0012,0,0,0,0,0,0,0,0,0,1039950
2016年11月,合計,107091712,3121,1,898789,210,1,41422458,8844,1,103772106,1369,1,198922,42,1,5158669,1920,1,238369117,161971,1,179654459,400,1,59589,6,1,718613,332,1,677344434
2016年10月,新北市,21998258,505,0.1772,86886,9,0.101,3604456,909,0.0994,9425898,91,0.077,3537,3,0.0325,426224,121,0.0781,13408559,22189,0.0648,17747040,32,0.0813,0,0,0,8560,1,0.0077,66709418
2016年10月,台北市,38013725,448,0.3062,25306,6,0.0294,1437844,300,0.0396,38542459,209,0.3149,0,0,0,652949,85,0.1196,13123159,24576,0.0634,54116084,114,0.2479,1976,2,0.2831,865308,274,0.7743,146778810
2016年10月,桃園市,6537233,196,0.0527,4080,1,0.0047,2816368,346,0.0776,8097422,56,0.0662,0,0,0,524905,51,0.0961,17298903,12006,0.0836,22285220,25,0.1021,0,0,0,0,0,0,57564131
2016年10月,台中市,10062743,289,0.0811,86253,8,0.1003,4572845,480,0.1261,12428214,128,0.1015,10732,2,0.0987,402727,156,0.0738,25295504,20142,0.1222,22862795,43,0.1047,3605,1,0.5164,141251,18,0.1264,75866669
2016年10月,台南市,6517976,232,0.0525,110459,38,0.1285,3340876,1350,0.0921,6171862,117,0.0504,7840,2,0.0721,321515,119,0.0589,22722331,11669,0.1097,13645731,24,0.0625,0,0,0,532,2,0.0005,52839122
2016年10月,高雄市,17824148,480,0.1436,51404,38,0.0598,2204937,473,0.0608,16972311,152,0.1387,19753,3,0.1816,368060,157,0.0674,28408263,17802,0.1372,29209653,51,0.1338,1400,1,0.2005,657,3,0.0006,95060586
2016年10月,宜蘭縣,1523098,48,0.0123,95002,5,0.1105,1127784,188,0.0311,1799580,36,0.0147,0,0,0,182954,61,0.0335,5673965,4075,0.0274,2994816,7,0.0137,0,0,0,0,0,0,13397199
2016年10月,新竹縣,2168548,76,0.0175,18735,1,0.0218,978095,134,0.027,1164385,25,0.0095,0,0,0,76479,14,0.014,6683395,3734,0.0323,3024700,9,0.0139,0,0,0,4203,1,0.0038,14118540
2016年10月,苗栗縣,1325050,59,0.0107,153320,17,0.1783,1869354,729,0.0515,2113585,36,0.0173,0,0,0,99142,45,0.0182,6939883,5074,0.0335,2361100,5,0.0108,0,0,0,0,0,0,14861434
2016年10月,彰化縣,3062274,106,0.0247,51507,27,0.0599,3265906,669,0.09,3150802,46,0.0257,0,0,0,379245,118,0.0695,17924454,9340,0.0866,5073899,10,0.0232,0,0,0,7720,1,0.0069,32915807
2016年10月,南投縣,1534351,67,0.0124,9294,4,0.0108,1671619,241,0.0461,2731632,57,0.0223,0,0,0,421344,104,0.0772,5849067,4402,0.0283,1864526,3,0.0085,0,0,0,0,0,0,14081833
2016年10月,雲林縣,1264793,53,0.0102,26695,19,0.031,1606558,408,0.0443,1535995,39,0.0126,0,0,0,89028,71,0.0163,9823827,6952,0.0474,4810112,7,0.022,0,0,0,27271,9,0.0244,19184279
2016年10月,嘉義縣,1224525,61,0.0099,2960,4,0.0034,1271948,352,0.0351,716762,23,0.0059,0,0,0,40649,44,0.0074,7435865,3038,0.0359,6132556,9,0.0281,0,0,0,32160,1,0.0288,16857425
2016年10月,屏東縣,1148295,89,0.0093,12816,6,0.0149,1754452,425,0.0484,5226893,75,0.0427,1511,4,0.0139,180410,197,0.033,8767008,4783,0.0423,5816323,13,0.0266,0,0,0,6225,14,0.0056,22913933
2016年10月,台東縣,912813,54,0.0074,8379,7,0.0097,944922,478,0.0261,2281034,55,0.0186,14099,3,0.1296,239962,123,0.0439,3015792,1239,0.0146,1349660,6,0.0062,0,0,0,15959,10,0.0143,8782620
2016年10月,花蓮縣,997908,56,0.008,10030,2,0.0117,1243229,354,0.0343,1983287,55,0.0162,2880,1,0.0265,288497,109,0.0528,5625746,3241,0.0272,4995809,10,0.0229,0,0,0,0,0,0,15147386
2016年10月,基隆市,1711766,71,0.0138,0,0,0,359004,91,0.0099,1741729,35,0.0142,0,0,0,16062,8,0.0029,1850445,1550,0.0089,2444600,5,0.0112,0,0,0,0,0,0,8123606
2016年10月,新竹市,2670068,76,0.0215,21600,3,0.0251,291646,39,0.008,2404548,45,0.0196,0,0,0,168343,17,0.0308,1979031,2205,0.0096,14001440,12,0.0641,0,0,0,0,0,0,21536676
