日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2019年06月,台中市,475572797,0.1831,476542503,0.1835,14785102,0.0057,1629781609,0.6276,2596682011,0.1442
2019年06月,台南市,327959291,0.1446,290022026,0.1279,33518607,0.0148,1616069801,0.7127,2267569725,0.1259
2019年06月,高雄市,424730491,0.1761,502708461,0.2084,20392283,0.0085,1463829384,0.607,2411660619,0.1339
2019年06月,宜蘭縣,71026973,0.2567,69482954,0.2511,6372515,0.023,129819423,0.4692,276701865,0.0154
2019年06月,新竹縣,99092050,0.1185,89292893,0.1068,1567008,0.0019,646130857,0.7728,836082808,0.0464
2019年06月,苗栗縣,74964881,0.1376,62029239,0.1139,2669297,0.0049,405066792,0.7436,544730209,0.0303
2019年06月,彰化縣,192583599,0.2035,189008656,0.1997,40790878,0.0431,524112277,0.5537,946495410,0.0526
2019年06月,南投縣,78315347,0.3234,58602528,0.242,8446244,0.0349,96795157,0.3997,242159276,0.0134
2019年06月,雲林縣,110262164,0.2352,74659839,0.1593,33521307,0.0715,250291405,0.534,468734715,0.026
2019年06月,嘉義縣,71171508,0.3076,49583280,0.2143,23772703,0.1028,86825970,0.3753,231353461,0.0128
2019年06月,屏東縣,133177972,0.3355,100761977,0.2538,62712896,0.158,100326980,0.2527,396979825,0.022
2019年06月,台東縣,34537441,0.4244,34600122,0.4252,1986404,0.0244,10252725,0.126,81376692,0.0045
2019年06月,花蓮縣,54137967,0.2667,64527280,0.3179,1764179,0.0087,82563360,0.4067,202992786,0.0113
2019年06月,基隆市,57306977,0.4684,46525769,0.3803,14232,0.0001,18492170,0.1512,122339148,0.0068
2019年06月,新竹市,72911212,0.0846,111405800,0.1292,868394,0.001,677004088,0.7852,862189494,0.0479
2019年06月,嘉義市,43387475,0.4362,47815017,0.4807,624257,0.0063,7638479,0.0768,99465228,0.0055
2019年06月,澎湖縣,14054551,0.3787,18307999,0.4933,365348,0.0098,4387642,0.1182,37115540,0.0021
2019年06月,金門縣,8842836,0.3648,11034751,0.4552,245035,0.0101,4117671,0.1699,24240293,0.0013
2019年06月,連江縣,1960090,0.3426,3084786,0.5392,8917,0.0016,667653,0.1167,5721446,0.0003
2019年06月,合計,3787547541,0.2104,4084347638,0.2268,261780979,0.0145,9871500746,0.5483,18005176904,1
2019年05月,新北市,592465985,0.3596,531832311,0.3228,2384090,0.0014,520726170,0.3161,1647408556,0.0916
2019年05月,台北市,383138279,0.3008,828124754,0.6501,642721,0.0005,61966031,0.0486,1273871785,0.0708
2019年05月,桃園市,308644435,0.1344,375175763,0.1633,3486935,0.0015,1609737151,0.7008,2297044284,0.1278
2019年05月,台中市,437401515,0.1669,474495654,0.181,13817713,0.0053,1695447660,0.6468,2621162542,0.1458
2019年05月,台南市,285249576,0.1263,277625554,0.1229,30664730,0.0136,1665316685,0.7372,2258856545,0.1256
2019年05月,高雄市,473908004,0.1884,495180673,0.1969,20397123,0.0081,1525951460,0.6066,2515437260,0.1399
2019年05月,宜蘭縣,64921302,0.2404,70712953,0.2619,6008333,0.0223,128379414,0.4754,270022002,0.015
2019年05月,新竹縣,81583102,0.1011,80524611,0.0998,1552833,0.0019,643535208,0.7972,807195754,0.0449
2019年05月,苗栗縣,78213178,0.1329,61000439,0.1037,2395051,0.0041,446721630,0.7593,588330298,0.0327
