日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2018年02月,花蓮縣,12116380,26,0.0146,16037685,1209,0.0162,17211110,10609,0.0173,45365175
2018年02月,基隆市,6826484,21,0.0082,14115618,1253,0.0143,11990085,7214,0.0121,32932187
2018年02月,新竹市,32743752,54,0.0393,21917418,2057,0.0222,18175232,9864,0.0183,72836402
2018年02月,嘉義市,7595200,16,0.0091,12971951,1247,0.0131,11624988,8315,0.0117,32192139
2018年02月,澎湖縣,2753000,6,0.0033,5361632,461,0.0054,2860837,2050,0.0029,10975469
2018年02月,金門縣,1909700,7,0.0023,3079832,493,0.0031,2481533,2097,0.0025,7471065
2018年02月,連江縣,0,0,0,1402868,182,0.0014,925783,687,0.0009,2328651
2018年02月,合計,832202692,1568,1,988969143,86575,1,994219222,585145,1,2815391057
2018年01月,新北市,92516040,153,0.0932,155336918,11918,0.1366,207283740,98173,0.1747,455136698
2018年01月,台北市,306571900,476,0.309,202990650,14325,0.1785,187114393,92586,0.1577,696676943
2018年01月,桃園市,103876721,161,0.1047,102238942,5961,0.0899,107848592,46548,0.0909,313964255
2018年01月,台中市,93641683,183,0.0944,134617414,9912,0.1184,161236785,83599,0.1359,389495882
2018年01月,台南市,62448412,84,0.0629,90332140,7938,0.0794,80355707,45542,0.0677,233136259
2018年01月,高雄市,126893431,173,0.1279,138701492,10662,0.122,129461976,69710,0.1091,395056899
2018年01月,宜蘭縣,12109096,28,0.0122,21489047,1456,0.0189,26726377,15267,0.0225,60324520
2018年01月,新竹縣,16954260,24,0.0171,26431490,1841,0.0232,24594931,11302,0.0207,67980681
2018年01月,苗栗縣,10379120,19,0.0105,17863145,1216,0.0157,24893242,14060,0.021,53135507
2018年01月,彰化縣,45350918,31,0.0457,51778795,5140,0.0455,48816388,27270,0.0411,145946101
2018年01月,南投縣,7256800,24,0.0073,20757734,1501,0.0183,19889880,11776,0.0168,47904414
2018年01月,雲林縣,10207156,25,0.0103,25405851,2329,0.0223,26687403,19295,0.0225,62300410
2018年01月,嘉義縣,10084100,13,0.0102,14020280,1331,0.0123,17591782,11264,0.0148,41696162
2018年01月,屏東縣,16178167,39,0.0163,36488449,3283,0.0321,32317723,20266,0.0272,84984339
2018年01月,台東縣,4304600,9,0.0043,12559786,822,0.011,9770635,6676,0.0082,26635021
2018年01月,花蓮縣,14926460,27,0.015,18584458,1209,0.0163,20870564,10979,0.0176,54381482
2018年01月,基隆市,7840200,20,0.0079,16519163,1256,0.0145,14155793,7399,0.0119,38515156
2018年01月,新竹市,37796372,54,0.0381,25010517,2057,0.022,22096978,10796,0.0186,84903867
2018年01月,嘉義市,8686800,16,0.0088,14944159,1246,0.0131,15134168,9328,0.0128,38765127
2018年01月,澎湖縣,1880800,5,0.0019,6070305,460,0.0053,5155860,3436,0.0043,13106965
2018年01月,金門縣,2268480,7,0.0023,3508232,493,0.0031,3691699,2458,0.0031,9468411
2018年01月,連江縣,0,0,0,1540587,181,0.0014,1015468,610,0.0009,2556055
2018年01月,合計,992171516,1571,1,1137189554,86537,1,1186710084,618340,1,3316071154
2017年12月,新北市,96234800,158,0.0944,148974002,10307,0.1305,257317302,106650,0.1728,502526104
2017年12月,台北市,310912478,478,0.305,211880242,13507,0.1856,197772816,92636,0.1328,720565536
2017年12月,桃園市,107843944,154,0.1058,88600033,5008,0.0776,149679178,56621,0.1005,346123155
2017年12月,台中市,105856038,182,0.1038,160680412,10466,0.1408,235196833,98564,0.1579,501733283
2017年12月,台南市,52750472,79,0.0517,87648888,7120,0.0768,106122781,52882,0.0712,246522141
2017年12月,高雄市,134741462,177,0.1322,140564476,9748,0.1232,164902223,76847,0.1107,440208161
2017年12月,宜蘭縣,12809697,29,0.0126,19839544,1185,0.0174,26004252,14049,0.0175,58653493
2017年12月,新竹縣,14403100,19,0.0141,26721058,1918,0.0234,35633862,15961,0.0239,76758020
2017年12月,苗栗縣,10159100,18,0.01,17301458,1082,0.0152,28581867,14266,0.0192,56042425
2017年12月,彰化縣,45571835,28,0.0447,49341068,4766,0.0432,76736592,42259,0.0515,171649495
2017年12月,南投縣,6610400,17,0.0065,20958095,1349,0.0184,26574003,15286,0.0178,54142498
2017年12月,雲林縣,9211664,22,0.009,23735030,1973,0.0208,28481394,17535,0.0191,61428088
2017年12月,嘉義縣,10532400,13,0.0103,11647855,962,0.0102,20854892,12176,0.014,43035147
